label,parent,positive,negative
Naive/central-memory T,T cell,CCR7;LTB;MAL;LEF1;TCF7;IL7R,NKG7;GNLY;S100A8
Cytotoxic T,T cell,CD8A;CD8B;CCL5;CTSW;NKG7;GZMK,MS4A1;LST1
Regulatory T-like,T cell,FOXP3;IL2RA;CTLA4;TIGIT;IKZF2,NKG7;GNLY
NK cytotoxic,NK,GNLY;PRF1;NKG7;KLRD1;FCGR3A,CD3D;TRAC
Naive B,B cell,TCL1A;IGHD;IGHM;FCER2;IL4R,MZB1;JCHAIN
Memory B,B cell,CD27;AIM2;BANK1;MS4A1;CD79A,MZB1;JCHAIN
Classical monocyte,Monocyte,S100A8;S100A9;CTSD;FCN1;VCAN,FCGR3A;MS4A1
Non-classical monocyte,Monocyte,FCGR3A;LST1;IFITM3;MS4A7;LILRB1,S100A8;S100A9
Inflammatory macrophage,Macrophage,IL1B;CXCL8;S100A8;S100A9;CTSB,MRC1;FOLR2
Resident-like macrophage,Macrophage,C1QA;C1QB;C1QC;FOLR2;MRC1,S100A8;S100A9
